id,time,x,y,z,pulse
0,0.0,-0.04,0.07,0.59,332.0
1,32.0,-0.05,0.08,0.58,333.0
2,64.0,-0.04,0.06,0.0,-0.06
3,32.0,-0.06,0.05,0.58,334.0
4,64.0,-0.06,0.06,0.58,334.0
5,96.0,-0.06,0.06,0.59,333.0
6,129.0,-0.05,0.07,0.58,331.0
7,160.0,-0.05,0.08,0.59,332.0
8,193.0,-0.05,0.07,0.6,332.0
9,225.0,-0.05,0.07,0.59,332.0
10,257.0,-0.05,0.07,0.59,332.0
11,289.0,-0.05,0.07,0.59,333.0
12,321.0,-0.06,0.06,0.59,334.0
13,354.0,-0.06,0.06,0.58,334.0
14,386.0,-0.06,0.06,0.58,334.0
15,417.0,-0.06,0.05,0.57,333.0
16,450.0,-0.05,0.06,0.58,332.0
17,482.0,-0.07,0.05,0.57,331.0
18,515.0,-0.07,0.05,0.58,332.0
19,546.0,-0.06,0.08,0.58,331.0
20,579.0,-0.06,0.07,0.57,332.0
21,611.0,-0.05,0.07,0.58,333.0
22,643.0,-0.05,0.07,0.58,332.0
23,675.0,-0.03,0.07,0.59,331.0
24,707.0,-0.05,0.07,0.59,333.0
25,740.0,-0.05,0.06,0.57,334.0
26,772.0,-0.05,0.06,0.58,333.0
27,803.0,-0.05,0.06,0.58,332.0
28,836.0,-0.05,0.06,0.59,332.0
29,868.0,-0.06,0.06,0.58,335.0
30,901.0,-0.05,0.05,0.57,335.0
31,932.0,-0.06,0.06,0.58,335.0
32,965.0,-0.06,0.05,0.58,332.0
33,997.0,-0.06,0.04,0.58,330.0
34,1029.0,-0.06,0.06,0.57,332.0
35,1061.0,-0.05,0.07,0.59,334.0
36,1093.0,-0.03,0.08,0.59,333.0
37,1126.0,-0.04,0.08,0.58,332.0
38,1158.0,-0.05,0.07,0.6,331.0
39,1190.0,-0.04,0.08,0.59,332.0
40,1222.0,-0.05,0.08,0.58,334.0
41,1255.0,-0.04,0.06,0.59,335.0
42,1287.0,-0.05,0.06,0.59,333.0
43,1319.0,-0.07,0.06,0.58,333.0
44,1351.0,-0.06,0.05,0.56,331.0
45,1383.0,-0.06,0.07,0.58,333.0
46,1416.0,-0.06,0.06,0.59,334.0
47,1447.0,-0.06,0.06,0.59,334.0
48,1480.0,-0.07,0.06,0.58,334.0
49,1512.0,-0.05,0.05,0.59,333.0
50,1545.0,-0.05,0.06,0.57,334.0
51,1576.0,-0.05,0.08,0.59,338.0
52,1609.0,-0.05,0.08,0.58,348.0
53,1641.0,-0.05,0.08,0.58,347.0
54,1674.0,-0.04,0.07,0.59,343.0
55,1705.0,-0.05,0.05,0.57,338.0
56,1738.0,-0.05,0.07,0.59,334.0
57,1770.0,-0.04,0.06,0.57,331.0
58,1803.0,-0.05,0.07,0.6,324.0
59,1835.0,-0.06,0.04,0.57,318.0
60,1866.0,-0.06,0.05,0.58,320.0
61,1899.0,-0.05,0.06,0.59,325.0
62,1931.0,-0.06,0.06,0.58,331.0
63,1964.0,-0.07,0.05,0.59,334.0
64,1995.0,-0.06,0.06,0.57,333.0
65,2028.0,-0.05,0.07,0.59,334.0
66,2060.0,-0.05,0.06,0.57,333.0
67,2093.0,-0.04,0.08,0.58,333.0
68,2124.0,-0.04,0.07,0.58,333.0
69,2157.0,-0.05,0.06,0.58,334.0
70,2189.0,-0.05,0.07,0.57,332.0
71,2222.0,-0.06,0.06,0.58,333.0
72,2253.0,-0.05,0.05,0.59,332.0
73,2285.0,-0.06,0.06,0.58,335.0
74,2318.0,-0.07,0.05,0.58,334.0
75,2350.0,-0.05,0.06,0.59,334.0
76,2382.0,-0.06,0.05,0.58,331.0
77,2414.0,-0.06,0.06,0.59,333.0
78,2447.0,-0.06,0.05,0.57,334.0
79,2479.0,-0.05,0.05,0.59,333.0
80,2511.0,-0.06,0.08,0.58,333.0
81,2543.0,-0.05,0.06,0.58,333.0
82,2576.0,-0.05,0.08,0.59,331.0
83,2608.0,-0.03,0.07,0.58,332.0
84,2640.0,-0.05,0.08,0.59,332.0
85,2672.0,-0.05,0.07,0.59,334.0
86,2705.0,-0.05,0.07,0.57,333.0
87,2737.0,-0.05,0.06,0.58,333.0
