id,time,x,y,z,pulse
0,0.0,0.48,-0.3,-0.32,333.0
1,32.0,0.47,-0.13,-0.29,346.0
2,64.0,0.59,0.06,0.0,-0.24
3,32.0,-0.19,-0.09,0.49,323.0
4,64.0,-0.21,-0.11,0.51,323.0
5,96.0,-0.1,-0.18,0.56,322.0
6,129.0,-0.07,-0.19,0.52,318.0
7,160.0,-0.03,-0.18,0.37,317.0
8,193.0,-0.11,-0.18,0.74,318.0
9,225.0,-0.16,-0.16,0.72,324.0
10,258.0,-0.16,-0.12,0.64,333.0
11,289.0,-0.14,-0.18,0.6,346.0
12,321.0,-0.16,-0.17,0.55,348.0
13,354.0,-0.08,-0.26,0.55,349.0
14,386.0,-0.2,-0.15,0.59,346.0
15,418.0,-0.24,-0.06,0.72,338.0
16,450.0,-0.27,-0.23,0.74,333.0
17,483.0,-0.2,-0.31,0.61,330.0
18,515.0,-0.04,-0.16,0.54,330.0
19,546.0,-0.02,-0.13,0.42,329.0
20,579.0,-0.05,-0.13,0.48,326.0
21,611.0,0.02,-0.12,0.45,326.0
22,644.0,-0.04,-0.12,0.59,325.0
23,675.0,-0.01,-0.31,0.67,322.0
24,708.0,0.03,-0.29,0.47,320.0
25,740.0,-0.07,-0.15,0.48,318.0
26,773.0,-0.18,-0.18,0.48,322.0
27,804.0,-0.21,-0.03,0.64,322.0
28,836.0,-0.13,-0.35,0.85,323.0
29,869.0,-0.25,-0.17,0.68,321.0
30,901.0,-0.24,-0.13,0.59,321.0
31,933.0,-0.16,-0.17,0.56,327.0
32,965.0,-0.19,-0.15,0.53,336.0
33,998.0,-0.21,-0.08,0.5,349.0
34,1030.0,-0.22,-0.11,0.55,354.0
35,1062.0,-0.25,-0.09,0.61,350.0
36,1094.0,-0.25,-0.17,0.66,347.0
37,1127.0,-0.22,-0.07,0.61,344.0
38,1159.0,-0.2,-0.07,0.59,336.0
39,1190.0,-0.19,-0.07,0.56,330.0
40,1223.0,-0.2,-0.07,0.56,327.0
41,1255.0,-0.18,-0.09,0.59,335.0
42,1288.0,-0.17,-0.08,0.56,331.0
43,1319.0,-0.19,0.0,0.56,331.0
44,1352.0,-0.24,0.07,0.49,327.0
45,1384.0,-0.24,0.14,0.51,326.0
46,1417.0,-0.15,0.09,0.58,323.0
47,1448.0,-0.15,0.05,0.59,321.0
48,1481.0,-0.16,0.03,0.56,325.0
49,1513.0,-0.16,-0.01,0.55,324.0
50,1546.0,-0.09,-0.11,0.54,322.0
51,1577.0,-0.23,-0.02,0.56,319.0
52,1610.0,-0.3,-0.16,0.6,322.0
53,1642.0,-0.35,-0.13,0.75,334.0
54,1675.0,-0.32,-0.14,0.72,342.0
55,1707.0,-0.3,-0.11,0.62,351.0
56,1739.0,-0.25,-0.14,0.64,361.0
57,1771.0,-0.27,-0.03,0.58,357.0
58,1804.0,-0.24,0.01,0.5,356.0
59,1836.0,-0.17,-0.01,0.43,348.0
60,1868.0,-0.16,-0.0,0.43,341.0
61,1900.0,-0.17,-0.02,0.42,334.0
62,1933.0,-0.19,-0.08,0.52,330.0
63,1965.0,-0.24,-0.09,0.6,334.0
64,1996.0,-0.28,-0.11,0.6,332.0
65,2029.0,-0.29,-0.08,0.61,330.0
66,2061.0,-0.34,-0.13,0.62,324.0
67,2094.0,-0.27,-0.08,0.56,324.0
68,2125.0,-0.27,-0.12,0.56,324.0
69,2158.0,-0.29,-0.08,0.54,322.0
70,2190.0,-0.32,-0.1,0.53,321.0
71,2223.0,-0.3,-0.17,0.49,319.0
72,2254.0,-0.32,-0.23,0.46,325.0
73,2287.0,-0.3,-0.24,0.45,324.0
74,2319.0,-0.26,-0.24,0.44,336.0
75,2352.0,-0.35,-0.02,0.46,348.0
76,2383.0,-0.27,-0.09,0.44,358.0
77,2416.0,-0.44,-0.47,0.51,364.0
78,2448.0,-0.23,-0.77,0.81,364.0
79,2481.0,-0.53,-0.45,0.8,367.0
80,2512.0,-0.56,-0.18,0.56,359.0
81,2545.0,-0.35,-0.33,0.41,349.0
82,2577.0,-0.12,-0.42,0.43,339.0
83,2610.0,-0.36,-0.29,0.41,337.0
84,2641.0,-0.35,-0.29,0.46,338.0
85,2674.0,-0.27,-0.36,0.4,331.0
86,2706.0,-0.23,-0.48,0.48,328.0
87,2739.0,-0.33,-0.45,0.56,333.0
88,2770.0,-0.28,-0.39,0.49,328.0
89,2803.0,-0.26,-0.32,0.44,326.0
90,2835.0,-0.35,-0.27,0.47,324.0
91,2868.0,-0.32,-0.3,0.49,324.0
92,2899.0,-0.36,-0.29,0.53,322.0
93,2932.0,-0.36,-0.36,0.59,320.0
94,2964.0,-0.32,-0.35,0.48,324.0
95,2997.0,-0.32,-0.36,0.47,330.0
96,3028.0,-0.32,-0.27,0.41,344.0
97,3061.0,-0.38,-0.24,0.42,358.0
98,3093.0,-0.32,-0.26,0.47,369.0
99,3126.0,-0.28,-0.36,0.51,374.0
100,3158.0,-0.28,-0.31,0.55,369.0
101,3190.0,-0.33,-0.21,0.55,362.0
102,3222.0,-0.28,-0.25,0.45,353.0
103,3255.0,-0.34,-0.21,0.49,349.0
104,3287.0,-0.32,-0.31,0.39,342.0
105,3319.0,-0.28,-0.29,0.37,339.0
106,3351.0,-0.32,-0.3,0.48,334.0
107,3384.0,-0.34,-0.29,0.59,333.0
108,3416.0,-0.34,-0.34,0.6,330.0
109,3448.0,-0.32,-0.4,0.54,327.0
110,3480.0,-0.31,-0.38,0.51,330.0
111,3513.0,-0.31,-0.34,0.51,327.0
112,3545.0,-0.31,-0.34,0.47,323.0
113,3577.0,-0.33,-0.38,0.51,321.0
114,3609.0,-0.36,-0.38,0.54,322.0
115,3642.0,-0.28,-0.32,0.47,323.0
116,3674.0,-0.24,-0.33,0.51,318.0
117,3706.0,-0.31,-0.32,0.48,317.0
118,3738.0,-0.32,-0.36,0.52,328.0
119,3771.0,-0.35,-0.34,0.53,349.0
120,3803.0,-0.3,-0.32,0.46,363.0
121,3835.0,-0.31,-0.32,0.42,372.0
122,3867.0,-0.31,-0.29,0.45,372.0
123,3900.0,-0.31,-0.28,0.48,367.0
124,3932.0,-0.32,-0.29,0.44,358.0
125,3964.0,-0.32,-0.28,0.46,348.0
126,3996.0,-0.33,-0.27,0.5,346.0
127,4029.0,-0.3,-0.3,0.52,338.0
128,4061.0,-0.32,-0.27,0.53,334.0
129,4093.0,-0.34,-0.26,0.51,329.0
130,4125.0,-0.31,-0.33,0.48,327.0
131,4158.0,-0.32,-0.29,0.53,323.0
132,4190.0,-0.31,-0.27,0.51,321.0
133,4222.0,-0.32,-0.27,0.51,320.0
134,4254.0,-0.34,-0.26,0.47,323.0
135,4287.0,-0.33,-0.25,0.48,322.0
136,4319.0,-0.33,-0.28,0.5,321.0
137,4352.0,-0.32,-0.27,0.51,321.0
138,4383.0,-0.32,-0.28,0.53,321.0
139,4416.0,-0.32,-0.28,0.51,318.0
140,4448.0,-0.32,-0.27,0.52,324.0
141,4481.0,-0.37,-0.29,0.47,345.0
142,4512.0,-0.35,-0.3,0.51,360.0
143,4545.0,-0.37,-0.29,0.47,368.0
144,4577.0,-0.35,-0.26,0.47,365.0
145,4610.0,-0.33,-0.29,0.48,362.0
146,4641.0,-0.37,-0.32,0.53,356.0
147,4674.0,-0.36,-0.32,0.54,343.0
148,4706.0,-0.32,-0.31,0.5,333.0
149,4739.0,-0.3,-0.29,0.49,328.0
150,4770.0,-0.33,-0.31,0.47,332.0
151,4802.0,-0.33,-0.32,0.48,332.0
152,4835.0,-0.31,-0.3,0.46,331.0
153,4867.0,-0.32,-0.3,0.46,329.0
154,4899.0,-0.31,-0.31,0.48,326.0
155,4931.0,-0.31,-0.3,0.48,322.0
156,4964.0,-0.32,-0.32,0.48,320.0
157,4996.0,-0.34,-0.28,0.47,324.0
158,5028.0,-0.33,-0.25,0.48,321.0
159,5060.0,-0.32,-0.27,0.54,321.0
160,5093.0,-0.32,-0.28,0.56,320.0
161,5125.0,-0.32,-0.25,0.54,328.0
162,5157.0,-0.32,-0.29,0.51,345.0
163,5189.0,-0.35,-0.25,0.48,353.0
164,5222.0,-0.34,-0.24,0.48,356.0
165,5254.0,-0.32,-0.25,0.48,361.0
166,5286.0,-0.34,-0.26,0.52,359.0
167,5318.0,-0.36,-0.24,0.5,349.0
168,5351.0,-0.3,-0.3,0.54,341.0
169,5383.0,-0.32,-0.27,0.5,333.0
170,5415.0,-0.32,-0.24,0.48,327.0
171,5447.0,-0.33,-0.24,0.48,324.0
172,5480.0,-0.35,-0.26,0.48,327.0
173,5512.0,-0.35,-0.26,0.49,326.0
174,5544.0,-0.33,-0.3,0.53,325.0
175,5576.0,-0.35,-0.26,0.5,320.0
176,5609.0,-0.34,-0.28,0.48,320.0
177,5641.0,-0.35,-0.29,0.48,319.0
178,5673.0,-0.35,-0.3,0.49,314.0
179,5705.0,-0.38,-0.33,0.5,312.0
180,5738.0,-0.26,-0.53,0.48,313.0
181,5770.0,-0.33,-0.44,0.44,321.0
182,5803.0,-0.4,-0.38,0.51,322.0
183,5834.0,-0.37,-0.38,0.52,333.0
184,5867.0,-0.38,-0.34,0.55,347.0
185,5899.0,-0.32,-0.32,0.52,357.0
186,5932.0,-0.3,-0.26,0.44,358.0
187,5963.0,-0.33,-0.24,0.33,357.0
188,5996.0,-0.32,-0.28,0.4,354.0
189,6028.0,-0.32,-0.32,0.43,345.0
190,6061.0,-0.37,-0.31,0.47,335.0
191,6092.0,-0.37,-0.32,0.46,328.0
192,6125.0,-0.34,-0.3,0.42,328.0
193,6157.0,-0.34,-0.29,0.46,328.0
194,6190.0,-0.36,-0.32,0.48,323.0
195,6221.0,-0.35,-0.32,0.47,320.0
196,6254.0,-0.36,-0.33,0.49,320.0
197,6286.0,-0.38,-0.32,0.51,324.0
198,6319.0,-0.34,-0.31,0.48,320.0
199,6350.0,-0.35,-0.3,0.48,320.0
200,6383.0,-0.35,-0.3,0.49,316.0
201,6415.0,-0.32,-0.28,0.48,316.0
202,6448.0,-0.35,-0.29,0.51,315.0
203,6479.0,-0.34,-0.29,0.47,315.0
204,6512.0,-0.36,-0.27,0.49,329.0
205,6544.0,-0.34,-0.27,0.49,340.0
206,6577.0,-0.33,-0.29,0.48,348.0
207,6608.0,-0.36,-0.29,0.48,353.0
208,6641.0,-0.35,-0.28,0.5,350.0
209,6673.0,-0.33,-0.3,0.48,346.0
210,6706.0,-0.36,-0.29,0.48,340.0
211,6737.0,-0.34,-0.31,0.45,330.0
212,6770.0,-0.36,-0.3,0.45,332.0
213,6802.0,-0.36,-0.32,0.47,328.0
214,6835.0,-0.41,-0.3,0.52,326.0
215,6866.0,-0.37,-0.3,0.51,324.0
216,6898.0,-0.39,-0.32,0.51,323.0
217,6931.0,-0.35,-0.27,0.5,319.0
218,6963.0,-0.36,-0.3,0.5,317.0
219,6995.0,-0.36,-0.33,0.5,322.0
220,7027.0,-0.35,-0.32,0.48,321.0
221,7060.0,-0.33,-0.27,0.45,320.0
222,7092.0,-0.34,-0.3,0.43,317.0
223,7124.0,-0.35,-0.31,0.43,319.0
224,7156.0,-0.35,-0.33,0.46,326.0
225,7189.0,-0.33,-0.33,0.48,336.0
226,7221.0,-0.32,-0.33,0.49,345.0
227,7254.0,-0.32,-0.34,0.48,347.0
228,7285.0,-0.32,-0.33,0.47,352.0
229,7318.0,-0.36,-0.36,0.48,348.0
230,7350.0,-0.36,-0.35,0.46,341.0
231,7383.0,-0.37,-0.32,0.48,332.0
232,7414.0,-0.35,-0.33,0.49,327.0
233,7447.0,-0.34,-0.32,0.48,327.0
234,7479.0,-0.31,-0.34,0.48,325.0
235,7512.0,-0.33,-0.32,0.48,329.0
236,7543.0,-0.34,-0.32,0.43,326.0
237,7576.0,-0.33,-0.32,0.45,323.0
238,7608.0,-0.37,-0.32,0.46,319.0
239,7641.0,-0.37,-0.3,0.47,322.0
240,7672.0,-0.36,-0.29,0.47,320.0
241,7705.0,-0.35,-0.29,0.45,317.0
242,7737.0,-0.38,-0.28,0.45,314.0
243,7770.0,-0.38,-0.31,0.46,319.0
244,7801.0,-0.39,-0.31,0.47,321.0
245,7834.0,-0.38,-0.28,0.45,329.0
246,7866.0,-0.38,-0.28,0.45,339.0
247,7899.0,-0.37,-0.27,0.48,345.0
248,7930.0,-0.34,-0.27,0.43,346.0
249,7963.0,-0.34,-0.28,0.48,345.0
250,7995.0,-0.36,-0.29,0.48,345.0
251,8028.0,-0.35,-0.32,0.49,343.0
252,8059.0,-0.37,-0.31,0.51,335.0
253,8092.0,-0.36,-0.31,0.49,327.0
254,8124.0,-0.36,-0.32,0.48,326.0
255,8157.0,-0.35,-0.33,0.48,324.0
256,8188.0,-0.38,-0.32,0.48,321.0
257,8221.0,-0.38,-0.29,0.47,319.0
258,8253.0,-0.37,-0.32,0.48,319.0
259,8286.0,-0.34,-0.33,0.43,325.0
260,8317.0,-0.32,-0.32,0.47,322.0
261,8350.0,-0.35,-0.31,0.42,322.0
262,8382.0,-0.33,-0.32,0.44,319.0
263,8415.0,-0.34,-0.33,0.46,317.0
264,8446.0,-0.31,-0.32,0.47,317.0
265,8479.0,-0.32,-0.32,0.48,316.0
266,8511.0,-0.32,-0.33,0.48,330.0
267,8544.0,-0.35,-0.33,0.48,340.0
268,8576.0,-0.35,-0.36,0.47,346.0
269,8608.0,-0.35,-0.34,0.49,345.0
270,8640.0,-0.36,-0.33,0.48,349.0
271,8673.0,-0.36,-0.32,0.47,345.0
272,8705.0,-0.36,-0.33,0.49,336.0
273,8737.0,-0.35,-0.29,0.46,330.0
274,8769.0,-0.35,-0.32,0.44,326.0
275,8802.0,-0.37,-0.32,0.46,329.0
276,8834.0,-0.37,-0.31,0.47,328.0
277,8866.0,-0.36,-0.3,0.48,327.0
278,8898.0,-0.34,-0.29,0.45,326.0
279,8931.0,-0.35,-0.25,0.47,322.0
280,8963.0,-0.35,-0.29,0.49,320.0
281,8995.0,-0.33,-0.27,0.49,320.0
282,9027.0,-0.34,-0.28,0.49,324.0
283,9060.0,-0.35,-0.27,0.5,324.0
284,9092.0,-0.38,-0.28,0.48,322.0
285,9124.0,-0.38,-0.3,0.48,320.0
286,9156.0,-0.37,-0.29,0.49,319.0
287,9189.0,-0.36,-0.28,0.49,323.0
288,9221.0,-0.35,-0.29,0.48,331.0
289,9253.0,-0.37,-0.29,0.47,337.0
290,9285.0,-0.37,-0.29,0.45,349.0
291,9318.0,-0.37,-0.28,0.45,349.0
292,9350.0,-0.36,-0.28,0.48,346.0
293,9382.0,-0.37,-0.28,0.46,339.0
294,9414.0,-0.34,-0.27,0.47,334.0
295,9447.0,-0.35,-0.29,0.48,328.0
296,9479.0,-0.36,-0.29,0.48,327.0
297,9511.0,-0.37,-0.31,0.48,329.0
298,9543.0,-0.35,-0.3,0.45,327.0
299,9576.0,-0.35,-0.33,0.49,327.0
300,9608.0,-0.36,-0.32,0.52,322.0
301,9640.0,-0.36,-0.32,0.48,324.0
